danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,labels
0.71,0.586,4,-6.555,0,0.053,0.0135,0.00157,0.457,0.299,128.028,185547,4,1
0.775,0.783,5,-3.509,1,0.0748,0.0413,1.4e-05,0.348,0.624,128.028,187517,4,1
0.634,0.725,5,-4.945,0,0.0587,0.0776,0.0,0.211,0.795,159.845,154375,4,1
0.8,0.679,3,-5.01,0,0.0485,0.154,2.59e-05,0.205,0.974,106.045,138113,4,1
0.71,0.596,0,-5.284,1,0.125,0.562,0.0,0.143,0.941,183.948,154794,4,1
0.638,0.662,9,-5.347,1,0.0718,0.0561,0.0,0.252,0.878,160.085,168203,4,1
0.733,0.916,1,-3.103,1,0.0383,0.122,1.32e-06,0.194,0.572,107.964,173868,4,1
0.53,0.4,8,-7.128,1,0.0288,0.405,0.0,0.0827,0.523,149.718,194400,4,1
0.749,0.687,1,-4.418,1,0.0304,0.158,4.58e-06,0.136,0.656,119.968,172504,4,1
0.528,0.678,9,-4.236,0,0.0865,0.387,0.0,0.0864,0.609,95.244,132000,4,1
0.697,0.628,7,-6.25,1,0.0445,0.452,0.0,0.476,0.845,97.058,187433,4,1
0.714,0.537,3,-6.852,1,0.0429,0.233,0.0,0.0703,0.375,123.949,204800,3,1
0.687,0.735,1,-4.246,1,0.24,0.185,0.0,0.109,0.398,169.914,216424,4,1
0.695,0.592,5,-5.34,0,0.032,0.00449,0.000663,0.185,0.482,108.001,260371,4,1

